 param nb_n := 12; #number of nodes


 set A:= 
	 1 2
	 2 1
	 2 5
	 5 2
	 2 6
	 6 2
	 2 12
	 12 2
	 3 6
	 6 3
	 3 9
	 9 3
	 4 7
	 7 4
	 4 10
	 10 4
	 4 11
	 11 4
	 5 7
	 7 5
	 5 8
	 8 5
	 6 7
	 7 6
	 8 10
	 10 8
	 9 12
	 12 9
	 10 11
	 11 10
;

 param u:= 450;


 param:		 c 	 cap := 
1 	 10 	 6584 
2 	 10 	 3968 
3 	 10 	 8568 
4 	 10 	 8838 
5 	 10 	 3427 
6 	 10 	 7215 
7 	 10 	 6223 
8 	 10 	 4419 
9 	 10 	 4960 
10 	 10 	 5321 
11 	 10 	 6944 
12 	 10 	 6403 ;
 
 param g := 
 1 	  2 	 5 
 2 	  1 	 3 
 2 	  5 	 2 
 5 	  2 	 5 
 2 	  6 	 3 
 6 	  2 	 2 
 2 	  12 	 5 
 12 	  2 	 5 
 3 	  6 	 4 
 6 	  3 	 2 
 3 	  9 	 3 
 9 	  3 	 4 
 4 	  7 	 2 
 7 	  4 	 2 
 4 	  10 	 3 
 10 	  4 	 5 
 4 	  11 	 4 
 11 	  4 	 5 
 5 	  7 	 3 
 7 	  5 	 2 
 5 	  8 	 4 
 8 	  5 	 3 
 6 	  7 	 3 
 7 	  6 	 4 
 8 	  10 	 3 
 10 	  8 	 5 
 9 	  12 	 4 
 12 	  9 	 5 
 10 	  11 	 2 
 11 	  10 	 3 
;

 param T:= 3;
 param d:=
1	333
2	1713
3	1713
4	1357
5	2963
6	1328
7	502
8	2404
9	1204
10	427
11	242
12	0
;

 param t:=
 1 2 1
 2 1 1
 2 5 1
 5 2 1
 2 6 1
 6 2 1
 2 12 1
 12 2 1
 3 6 1
 6 3 1
 3 9 1
 9 3 1
 4 7 1
 7 4 1
 4 10 1
 10 4 1
 4 11 1
 11 4 1
 5 7 1
 7 5 1
 5 8 1
 8 5 1
 6 7 1
 7 6 1
 8 10 1
 10 8 1
 9 12 1
 12 9 1
 10 11 1
 11 10 1
;
