param nb_n := 15; #number of nodes


 set A:= 
	 1 6
	 6 1
	 1 7
	 7 1
	 1 8
	 8 1
	 2 3
	 3 2
	 2 5
	 5 2
	 2 6
	 6 2
	 3 5
	 5 3
	 3 8
	 8 3
	 4 5
	 5 4
	 4 6
	 6 4
	 6 13
	 13 6
	 7 10
	 10 7
	 7 14
	 14 7
	 8 9
	 9 8
	 8 15
	 15 8
	 9 10
	 10 9
	 9 12
	 12 9
	 9 15
	 15 9
	 10 12
	 12 10
	 11 13
	 13 11
	 11 14
	 14 11
	 13 14
	 14 13
;

 param u:= 300;

 
 param:		 c 	 cap := 
1 	 73 	 534 
2 	 44 	 322 
3 	 95 	 694 
4 	 98 	 716 
5 	 38 	 278 
6 	 80 	 585 
7 	 69 	 505 
8 	 49 	 358 
9 	 55 	 402 
10 	 59 	 431 
11 	 77 	 563 
12 	 71 	 519 
13 	 96 	 702 
14 	 56 	 410 
15 	 31 	 227 ;
 
 param g := 
 1 	  6 	 5 
 6 	  1 	 3 
 1 	  7 	 2 
 7 	  1 	 5 
 1 	  8 	 5 
 8 	  1 	 4 
 2 	  3 	 2 
 3 	  2 	 3 
 2 	  5 	 4 
 5 	  2 	 2 
 2 	  6 	 2 
 6 	  2 	 3 
 3 	  5 	 5 
 5 	  3 	 4 
 3 	  8 	 5 
 8 	  3 	 3 
 4 	  5 	 2 
 5 	  4 	 4 
 4 	  6 	 3 
 6 	  4 	 3 
 6 	  13 	 4 
 13 	  6 	 3 
 7 	  10 	 5 
 10 	  7 	 4 
 7 	  14 	 5 
 14 	  7 	 2 
 8 	  9 	 3 
 9 	  8 	 2 
 8 	  15 	 3 
 15 	  8 	 5 
 9 	  10 	 4 
 10 	  9 	 3 
 9 	  12 	 5 
 12 	  9 	 4 
 9 	  15 	 3 
 15 	  9 	 4 
 10 	  12 	 3 
 12 	  10 	 2 
 11 	  13 	 5 
 13 	  11 	 4 
 11 	  14 	 5 
 14 	  11 	 3 
 13 	  14 	 4 
 14 	  13 	 5 
;
 param T:= 16;
 param d:=
1	113
2	113
3	77
4	110
5	26
6	65
7	28
8	41
9	27
10	100
11	34
12	28
13	13
14	3
15	0
;

 param t:=
 1 6 6.092091
 6 1 1.898731
 1 7 9.218921
 7 1 9.571557
 1 8 1.057258
 8 1 7.141062
 2 3 5.515321
 3 2 2.631351
 2 5 3.496042
 5 2 4.072466
 2 6 6.652117
 6 2 5.758072
 3 5 9.420216
 5 3 3.635246
 3 8 0.030888
 8 3 7.555983
 4 5 4.501026
 5 4 1.701219
 4 6 7.877481
 6 4 8.378084
 6 13 5.901661
 13 6 2.030928
 7 10 2.536388
 10 7 5.323393
 7 14 1.667483
 14 7 0.271418
 8 9 3.327088
 9 8 8.059470
 8 15 6.405158
 15 8 7.543746
 9 10 4.867305
 10 9 0.399336
 9 12 6.544303
 12 9 4.781249
 9 15 3.128987
 15 9 6.036796
 10 12 3.902836
 12 10 9.570518
 11 13 5.922038
 13 11 7.602993
 11 14 0.571750
 14 11 3.120471
 13 14 1.455261
 14 13 3.104901
;
